qid,nl_question,query_class,difficulty,gold_hash,pred_sql,pred_hash,exec_ok,den_acc,join_hall,llm_error,latency_s,exec_error
Q019,Show yearly billing_created event counts.,temporal_trend,medium,8b9295dc90cfe762aca0d5c4707d45afdc0184cce0e33f1487d46151fe39244c,"SELECT YEAR(timestamp) AS year, COUNT(*) AS n_events 
FROM events 
WHERE event_type = 'billing_created' 
GROUP BY year 
ORDER BY year",8b9295dc90cfe762aca0d5c4707d45afdc0184cce0e33f1487d46151fe39244c,1,1,0,0,8.089,
Q020,How many billing creation events occurred each year?,temporal_trend,medium,8b9295dc90cfe762aca0d5c4707d45afdc0184cce0e33f1487d46151fe39244c,"SELECT YEAR(timestamp) AS year, COUNT(*) AS n_events 
FROM events 
WHERE event_type = 'billing_created' 
GROUP BY year 
ORDER BY year",8b9295dc90cfe762aca0d5c4707d45afdc0184cce0e33f1487d46151fe39244c,1,1,0,0,8.274,
Q022,How many dunning_raised events occurred per month in 2006?,temporal_trend,medium,1e1fd0ed784ae73036b379d69a848277e9c3206db8541ddb395b338b9d503cbd,"SELECT MONTH(timestamp) AS month, COUNT(*) AS n_events 
FROM events 
WHERE event_type = 'dunning_raised' AND YEAR(timestamp) = 2006 
GROUP BY MONTH(timestamp) 
ORDER BY month",1e1fd0ed784ae73036b379d69a848277e9c3206db8541ddb395b338b9d503cbd,1,1,0,0,9.316,
Q023,Monthly dunning event counts for 2006.,temporal_trend,medium,1e1fd0ed784ae73036b379d69a848277e9c3206db8541ddb395b338b9d503cbd,"SELECT EXTRACT(MONTH FROM timestamp) AS month, COUNT(*) AS n_events 
FROM events 
WHERE event_type = 'dunning' AND EXTRACT(YEAR FROM timestamp) = 2006 
GROUP BY EXTRACT(MONTH FROM timestamp) 
ORDER BY month",e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,0,0,0,8.653,
Q024,Show dunning trend by month for 2006.,temporal_trend,medium,1e1fd0ed784ae73036b379d69a848277e9c3206db8541ddb395b338b9d503cbd,"SELECT EXTRACT(MONTH FROM timestamp) AS month, COUNT(*) AS n_events 
FROM events 
WHERE event_type = 'dunning_created' AND EXTRACT(YEAR FROM timestamp) = 2006 
GROUP BY EXTRACT(MONTH FROM timestamp) 
ORDER BY month",e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,0,0,0,11.069,
Q025,What is the average number of days from billing creation to payment clearing?,delay_analysis,hard,7212ea07f60a9beed62d027c136be169872772c6de97b20264c952276999e41e,,,0,0,0,1,7.091,
Q027,Average days between invoice creation and payment clearing.,delay_analysis,hard,7212ea07f60a9beed62d027c136be169872772c6de97b20264c952276999e41e,"WITH created AS (
  SELECT object_id, MIN(timestamp) AS t_created 
  FROM events 
  WHERE event_type = 'billing_created' 
  GROUP BY object_id
)
SELECT AVG(DATE_DIFF('day', created.t_created, o.AUGDT)) AS avg_days 
FROM created 
JOIN objects o ON created.object_id = o.object_id 
WHERE o.cleared = 'X'",,0,0,0,0,13.648,Conversion Error: Could not convert string 'X' to BOOL
Q028,How many billing-to-payment cases take more than 873 days?,anomaly_filter,hard,35b299fdd631a957b08c47b4f573b4f8b02ef1677f3f13cc42202dc9ad572cc2,"WITH bil AS (
  SELECT object_id AS billing_id, MIN(timestamp) AS t_bil 
  FROM events 
  WHERE event_type = 'billing_created' 
  GROUP BY object_id
), 
pay AS (
  SELECT object_id AS payment_id, MIN(timestamp) AS t_pay 
  FROM events 
  WHERE event_type = 'payment_created' 
  GROUP BY object_id
)
SELECT COUNT(*) 
FROM bil 
JOIN relations r ON r.from_object_id = bil.billing_id 
  AND r.relation_type = 'billing_to_ar'
JOIN pay ON r.to_object_id = pay.payment_id 
WHERE DATE_DIFF('day', bil.t_bil, pay.t_pay) > 873",d0bca111f8628137adc4c16f123496dcdd1d590d06cb5d9acd68b39fe656fb97,1,0,0,0,13.44,
Q029,Count long clearing gaps above 873 days.,anomaly_filter,hard,35b299fdd631a957b08c47b4f573b4f8b02ef1677f3f13cc42202dc9ad572cc2,SELECT COUNT(*) FROM objects WHERE (AUGDT - FKDAT) > 873;,,0,0,0,0,10.779,Binder Error: Cannot compare values of type INTERVAL and type INTEGER_LITERAL - an explicit cast is required
Q031,How many order creation events are there?,count_filter,easy,af739fd4d003277226731f065f0f27363113cea0bf5741736ef3e984fd2cb400,SELECT COUNT(*) FROM schema_name.events WHERE event_type = 'order_created';,,0,0,0,0,8.116,"Catalog Error: Table with name ""schema_name.events"" does not exist because schema ""schema_name"" does not exist."
Q032,How many payment clearing events are in the log?,count_filter,easy,fedd682913f1c4dce2b82359c51bcf5aaf42d2606688cb3979c290cdfc9a388e,"-- Check if table exists first
SELECT COUNT(*) FROM events WHERE event_type = 'payment_clearing';
-- If table doesn't exist, use correct table name
SELECT COUNT(*) FROM your_actual_table_name WHERE event_type = 'payment_clearing';",,0,0,0,0,8.199,Catalog Error: Table with name your_actual_table_name does not exist!
Q033,Count all goods issue events.,count_filter,easy,71c12dcf1f5ef5bfebb82cc73034cc57609673d5e7acff8f0ad0d889ebf5333e,SELECT COUNT(*) FROM your_table_name WHERE event_type = 'goods_issue';,,0,0,0,0,8.593,Catalog Error: Table with name your_table_name does not exist!
Q034,How many distinct customers are in the log?,count_filter,easy,2bb2c3e212922d41a53fb82a0960c81a4b72487c247c0d005bc43793819b67c0,SELECT COUNT(DISTINCT object_id) FROM objects WHERE object_type = 'customer';,2bb2c3e212922d41a53fb82a0960c81a4b72487c247c0d005bc43793819b67c0,1,1,0,0,8.298,
Q036,Show yearly order creation event counts.,temporal_trend,medium,36f57a4eca4f88bedfb93f510f570ca3b10060c5c6d6b46ea82deb35b9802ef2,"SELECT YEAR(timestamp) AS year, COUNT(*) AS n_events 
FROM events 
WHERE event_type = 'order_created' 
GROUP BY year 
ORDER BY year",36f57a4eca4f88bedfb93f510f570ca3b10060c5c6d6b46ea82deb35b9802ef2,1,1,0,0,6.72,
Q037,How many payment clearing events occurred each year?,temporal_trend,medium,8b6e406960ba0747b42901d6ca8982aeab18cf328c88a0ec38181d273b22a6ad,"SELECT YEAR(timestamp) AS year, COUNT(*) AS n_events 
FROM events 
WHERE event_type = 'payment_clearing' 
GROUP BY year 
ORDER BY year",8b6e406960ba0747b42901d6ca8982aeab18cf328c88a0ec38181d273b22a6ad,1,1,0,0,8.485,
Q038,How many goods issue events happened in 2005?,count_filter,easy,8e0af33a9584a8b984ef91014d5f6b13ac2c75d0140df7a26b52715e37ae4ffd,"SELECT COUNT(*) FROM events 
WHERE event_type = 'goods_issue' 
AND EXTRACT(YEAR FROM timestamp) = 2005;",8e0af33a9584a8b984ef91014d5f6b13ac2c75d0140df7a26b52715e37ae4ffd,1,1,0,0,7.384,
Q039,How many order items are linked to delivery items?,path_relation,medium,4cf5919b8a44e12ae5d782696fe2a561410f7c2ea1947dcb8dd1dc0e4536e418,"SELECT COUNT(DISTINCT relations.from_object_id) 
FROM relations 
WHERE relation_type = 'order_to_delivery';",987707be849303b7130f5d4a62db21f34302b76a2d02d26ff9cf04e9d1eccb68,1,0,0,0,6.96,
Q041,What is the yearly trend of delivery creation events?,temporal_trend,medium,dffb4889e62344a45845e8df065f8bcb8e23fcf2e30d2061dd2dfadd081ded39,"SELECT YEAR(timestamp) AS year, COUNT(*) AS n_events
FROM events
WHERE event_type = 'delivery_created'
GROUP BY year
ORDER BY year",dffb4889e62344a45845e8df065f8bcb8e23fcf2e30d2061dd2dfadd081ded39,1,1,0,0,8.267,
Q042,What is the average number of days between order creation and delivery creation?,delay_analysis,hard,ee87eb11ce1b2e4f5db3574a02e8fb9b7f8957ef964d978c2be801e8b7b8f463,"WITH orders AS (  
  SELECT object_id AS order_id, MIN(timestamp) AS t_order  
  FROM events  
  WHERE event_type = 'order_created'  
  GROUP BY object_id  
),  
deliveries AS (  
  SELECT object_id AS delivery_id, MIN(timestamp) AS t_delivery  
  FROM events  
  WHERE event_type = 'delivery_created'  
  GROUP BY object_id  
)  
SELECT AVG(DATEDIFF(day, o.t_order, d.t_delivery)) AS avg_days  
FROM relations r  
JOIN orders o ON r.from_object_id = o.order_id  
JOIN deliveries d ON r.to_object_id = d.delivery_id  
WHERE r.relation_type = 'order_to_delivery'",,0,0,0,0,16.735,"Binder Error: Referenced column ""day"" not found in FROM clause!"
Q045,How many AR items have been cleared?,count_filter,easy,fedd682913f1c4dce2b82359c51bcf5aaf42d2606688cb3979c290cdfc9a388e,"Based on the schema links provided, the query looks correct. The schema links indicate:
- `objects.object_id` - primary key
- `objects.object_type` - type field
- `objects.cleared` - boolean field
- `'AR'` - the object type value to filter on
- `True` - the cleared value to filter on

The SQL query `SELECT COUNT(*) FROM objects WHERE object_type = 'AR' AND cleared = True` properly:
1. Counts all rows (`COUNT(*)`)
2. From the `objects` table
3. Where `object_type` equals `'AR'`
4. And `cleared` equals `True`

This matches the requirements exactly. No fixes are needed.",,0,0,0,0,9.402,"Parser Error: syntax error at or near ""Based"""
Q046,How many order items were never linked to a delivery?,path_relation,medium,9ddfb779750442a86669b2a05a21464ebaebb85ce4574c43e52d698aae89fe46,,,0,0,0,1,5.479,
Q047,How many order items are linked to a customer that received a dunning notice?,path_relation,hard,2061d5751b1ac8f2cf3abc0c9b07acdf887e60a087dcad7c802a56ee2bc00c7e,"SELECT COUNT(DISTINCT r.from_object_id) 
FROM relations r 
WHERE r.relation_type = 'order_to_customer' 
AND r.to_object_id IN (
    SELECT DISTINCT object_id 
    FROM events 
    WHERE event_type = 'dunning_notice'
)",d0bca111f8628137adc4c16f123496dcdd1d590d06cb5d9acd68b39fe656fb97,1,0,0,0,11.152,
Q048,How many order items completed both delivery and billing steps?,path_relation,medium,ff8f16e8737877d56c6d51f591f4c332d9daf6baefb55fa3521bca90ac0b866e,"SELECT COUNT(DISTINCT r1.from_object_id)
FROM relations r1
WHERE r1.relation_type = 'order_to_delivery'
  AND EXISTS (
    SELECT 1 
    FROM relations r2 
    WHERE r2.from_object_id = r1.from_object_id 
      AND r2.relation_type = 'order_to_billing'
  );",ce47eaaaebcc35351d58e2e8666fa5488da01c8c922bd771471fbce7aa0ee187,1,0,0,0,10.188,
Q049,How many pricing_condition events are in the log?,count_filter,easy,4bf509a4b89fe77be8fb945273148985cbede383c5fd59e428ac84d2dddb9e8e,SELECT COUNT(*) FROM events WHERE event_type = 'pricing_condition';,4bf509a4b89fe77be8fb945273148985cbede383c5fd59e428ac84d2dddb9e8e,1,1,0,0,9.202,
Q051,How many payment_clearing events occurred per month in 2005?,temporal_trend,medium,5fd76dbae2362b50de9bd65fdc27c954118f45ecfab349bd79ef8f96ec956522,"SELECT 
    EXTRACT(MONTH FROM timestamp) AS month, 
    COUNT(*) AS n_events 
FROM events 
WHERE 
    event_type = 'payment_clearing' 
    AND EXTRACT(YEAR FROM timestamp) = 2005 
GROUP BY 
    EXTRACT(MONTH FROM timestamp) 
ORDER BY 
    month",5fd76dbae2362b50de9bd65fdc27c954118f45ecfab349bd79ef8f96ec956522,1,1,0,0,7.566,
Q052,Show yearly goods_issue event counts.,temporal_trend,medium,7bbb673bf8b540aa7b3d7b98a2dbcf8307680c933b5e9a0699fae7b08d8203bc,"SELECT YEAR(timestamp) AS year, COUNT(event_id) AS n_events 
FROM events 
WHERE event_type = 'goods_issue' 
GROUP BY YEAR(timestamp) 
ORDER BY year",7bbb673bf8b540aa7b3d7b98a2dbcf8307680c933b5e9a0699fae7b08d8203bc,1,1,0,0,11.903,
Q053,What is the monthly count of dunning_raised events in 2005?,temporal_trend,medium,04133e19e2bcfc80c04a2e3ec82d36af81f3a04f8936040384a64181df825d6d,"SELECT EXTRACT(MONTH FROM timestamp) AS month, COUNT(*) AS n_events 
FROM events 
WHERE event_type = 'dunning_raised' AND EXTRACT(YEAR FROM timestamp) = 2005 
GROUP BY EXTRACT(MONTH FROM timestamp) 
ORDER BY month",04133e19e2bcfc80c04a2e3ec82d36af81f3a04f8936040384a64181df825d6d,1,1,0,0,9.565,
Q054,Show yearly order_created counts between 2000 and 2006.,temporal_trend,medium,ad332d56a918909504084b87d9fb9b2318625d7327071b837cc93d9527885c0b,"SELECT YEAR(timestamp) AS year, COUNT(*) AS n_events 
FROM events 
WHERE event_type = 'order_created' 
  AND YEAR(timestamp) BETWEEN 2000 AND 2006 
GROUP BY YEAR(timestamp) 
ORDER BY YEAR(timestamp)",ad332d56a918909504084b87d9fb9b2318625d7327071b837cc93d9527885c0b,1,1,0,0,8.57,
Q057,What are the top 3 event types by count?,group_topk,easy,c17fa651524df311d821c9946032c9dda1df08a035715efd1e99525445ff04b2,"SELECT event_type, COUNT(*) AS n_events 
FROM events 
GROUP BY event_type 
ORDER BY n_events DESC 
LIMIT 3;",c17fa651524df311d821c9946032c9dda1df08a035715efd1e99525445ff04b2,1,1,0,0,7.834,
Q058,"Show the number of billing documents per currency, ordered by count descending.",group_topk,medium,8e599440a30a2790955fe2f70cbec05f6c429ea9a4244c9389a3d92aa5bf6c68,"SELECT WAERS AS currency, COUNT(*) AS n_billing_documents 
FROM objects 
WHERE object_type = 'billing' 
GROUP BY WAERS 
ORDER BY n_billing_documents DESC",e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1,0,0,0,9.974,
Q059,Top 5 payment-terms keys (ZTERM) by number of billing documents.,group_topk,medium,df6b66b733d4c53358795724379de68e65d711264d8cde55f3dc618fcf4fc277,"SELECT o.ZTERM, COUNT(DISTINCT o.object_id) AS billing_count 
FROM objects o 
WHERE o.object_id IN (
    SELECT DISTINCT to_object_id 
    FROM relations 
    WHERE relation_type IN ('order_to_billing', 'delivery_to_billing')
) 
GROUP BY o.ZTERM 
ORDER BY billing_count DESC 
LIMIT 5",87ca07bba8fd129f88284aae60196de29208b839a8f8393c58330f474b17a0ab,1,0,0,0,12.392,
Q062,Count the number of order_to_customer relations.,path_relation,easy,092ce16bf23dd99f1b22bf467c8b507aa36631fb9d6db8346df9df8b5e05b996,"-- Option 1: Add table schema prefix if needed
SELECT COUNT(*) FROM schema_name.relations WHERE relation_type = 'order_to_customer';

-- Option 2: Use COUNT(1) which is slightly more efficient in some databases
SELECT COUNT(1) FROM relations WHERE relation_type = 'order_to_customer';

-- Option 3: Add alias for clarity
SELECT COUNT(*) AS order_customer_count 
FROM relations 
WHERE relation_type = 'order_to_customer';",,0,0,0,0,8.75,"Catalog Error: Table with name ""schema_name.relations"" does not exist because schema ""schema_name"" does not exist."
Q063,How many delivery items were never linked to a billing document?,path_relation,medium,0076dcd18bd150c19b816d5c1c4114934c9f2be74fc156477d14c8b111f5c3fc,"SELECT COUNT(DISTINCT from_object_id) 
FROM relations 
WHERE relation_type = 'delivery_to_billing' 
  AND from_object_id NOT IN (
    SELECT from_object_id 
    FROM relations 
    WHERE relation_type != 'delivery_to_billing'
  )",6bd853c055f36b3e2a014eadae12b438c867a84c5cb03d23918a2f17315e4e34,1,0,0,0,10.743,
Q065,What is the average number of days between order_created and billing_created for order items linked via order_to_billing?,delay_analysis,hard,5cf64ec3a4cb8986417847bb2e4472c83878459a34a7d5cdab640819521f0188,"WITH ord AS (  
  SELECT object_id AS order_id, MIN(timestamp) AS t_order  
  FROM events  
  WHERE event_type = 'order_created'  
  GROUP BY object_id  
),  
bil AS (  
  SELECT object_id AS billing_id, MIN(timestamp) AS t_bill  
  FROM events  
  WHERE event_type = 'billing_created'  
  GROUP BY object_id  
)  
SELECT AVG(DATEDIFF(day, ord.t_order, bil.t_bill)) AS avg_days  
FROM relations r  
JOIN ord ON r.from_object_id = ord.order_id  
JOIN bil ON r.to_object_id = bil.billing_id  
WHERE r.relation_type = 'order_to_billing'",,0,0,0,0,16.947,"Binder Error: Referenced column ""day"" not found in FROM clause!"
Q066,What is the median number of days between order_created and billing_created for order items linked via order_to_billing?,delay_analysis,hard,c2272c0a862f11de35da66ec8be34349001ddebae43b85ab1dafb188f8ad7b30,"WITH ord AS (
  SELECT object_id AS order_id, MIN(timestamp) AS t_order 
  FROM events 
  WHERE event_type = 'order_created' 
  GROUP BY object_id
), 
bil AS (
  SELECT object_id AS billing_id, MIN(timestamp) AS t_bill 
  FROM events 
  WHERE event_type = 'billing_created' 
  GROUP BY object_id
)
SELECT MEDIAN(DATE_DIFF('day', ord.t_order, bil.t_bill)) AS median_days
FROM relations r
JOIN ord ON r.from_object_id = ord.order_id
JOIN bil ON r.to_object_id = bil.billing_id
WHERE r.relation_type = 'order_to_billing'",c2272c0a862f11de35da66ec8be34349001ddebae43b85ab1dafb188f8ad7b30,1,1,0,0,16.131,
Q067,What is the maximum number of days between billing_created and payment_clearing events for the same object?,delay_analysis,hard,d83faaadfa49c455c04de1d408dabc07bf6d6d6d784479f09216c477f48ed8c5,"WITH billing AS (
    SELECT object_id, MIN(timestamp) AS t_bill 
    FROM events 
    WHERE event_type = 'billing_created' 
    GROUP BY object_id
),
payment AS (
    SELECT object_id, MIN(timestamp) AS t_pay 
    FROM events 
    WHERE event_type = 'payment_clearing' 
    GROUP BY object_id
)
SELECT MAX(DATEDIFF('day', billing.t_bill, payment.t_pay)) AS max_days
FROM billing 
JOIN payment USING(object_id)",d820453b345f1556f6da543a68d5c3ae7d561d86fae71a04e820c19e8070c64a,1,0,0,0,12.512,
Q068,What is the average number of days from order_created to payment_clearing across the full order-to-cash chain?,delay_analysis,hard,930377cde2ecc15ab091bb0f7054fe33c82304cff67a77519ac16f491e2f1683,"WITH 
orders AS (
  SELECT object_id AS order_id, MIN(timestamp) AS t_order 
  FROM events 
  WHERE event_type = 'order_created' 
  GROUP BY object_id
),
deliveries AS (
  SELECT object_id AS delivery_id, MIN(timestamp) AS t_del 
  FROM events 
  WHERE event_type = 'delivery_created' 
  GROUP BY object_id
),
billings AS (
  SELECT object_id AS billing_id, MIN(timestamp) AS t_bil 
  FROM events 
  WHERE event_type = 'billing_created' 
  GROUP BY object_id
),
ar AS (
  SELECT object_id AS ar_id, MIN(timestamp) AS t_clear 
  FROM events 
  WHERE event_type = 'payment_clearing' 
  GROUP BY object_id
)
SELECT AVG(DATE_DIFF('day', o.t_order, a.t_clear)) AS avg_days
FROM orders o
JOIN relations r1 ON r1.from_object_id = o.order_id AND r1.relation = 'order_to_delivery'
JOIN deliveries d ON r1.to_object_id = d.delivery_id
JOIN relations r2 ON r2.from_object_id = d.delivery_id AND r2.relation = 'delivery_to_billing'
JOIN billings b ON r2.to_object_id = b.billing_id
JOIN relations r3 ON r3.from",,0,0,0,0,21.153,"Binder Error: Values list ""r1"" does not have a column named ""relation"""
Q069,What is the 99th percentile of days between billing_created and payment_clearing across billing-to-ar linked cases?,delay_analysis,hard,d497a0f70fc205b3c9d8ffc96689c5f89e5d18e9e17ca7b77b412072c0fc212f,,,0,0,0,1,10.643,
Q070,What is the standard deviation of days between billing_created and payment_clearing for billing-to-ar pairs?,delay_analysis,hard,72e5337fb7282fa2480ff6c2a5cb746f2d249ce2826aa1be329325de127d9bd0,"WITH bill AS (
  SELECT object_id AS billing_id, MIN(timestamp) AS t_bill 
  FROM events 
  WHERE event_type = 'billing_created' 
  GROUP BY object_id
), 
ar AS (
  SELECT object_id AS ar_id, MIN(timestamp) AS t_pay 
  FROM events 
  WHERE event_type = 'payment_clearing' 
  GROUP BY object_id
), 
rel AS (
  SELECT from_object_id AS billing_id, to_object_id AS ar_id 
  FROM relations 
  WHERE relation_type = 'billing_to_ar'
)
SELECT STDDEV(DATE_DIFF('day', bill.t_bill, ar.t_pay)) AS stddev_days 
FROM bill 
JOIN rel ON bill.billing_id = rel.billing_id 
JOIN ar ON rel.ar_id = ar.ar_id",72e5337fb7282fa2480ff6c2a5cb746f2d249ce2826aa1be329325de127d9bd0,1,1,0,0,15.023,
Q075,How many billing documents have a net amount above 76315 USD?,anomaly_filter,hard,f32d7d70329d1578e60161320c113aa1677d11b6af95fa95dbae5f353a667ca2,SELECT COUNT(*) FROM objects WHERE object_type = 'billing' AND NETWR > 76315 AND WAERS = 'USD',d0bca111f8628137adc4c16f123496dcdd1d590d06cb5d9acd68b39fe656fb97,1,0,0,0,8.743,
Q076,How many AR items have been uncleared for more than 365 days as of 2007-01-01?,anomaly_filter,hard,d0bca111f8628137adc4c16f123496dcdd1d590d06cb5d9acd68b39fe656fb97,"SELECT COUNT(*) 
FROM objects 
WHERE object_type = 'AR' 
  AND cleared = 0 
  AND AUGDT < DATE_SUB('2007-01-01', INTERVAL 365 DAY)",,0,0,0,0,12.334,"Binder Error: No function matches the given name and argument types 'date_sub(STRING_LITERAL, INTERVAL)'. You might need to add explicit type casts."
Q077,How many order items had no delivery event within 90 days of their order_created?,anomaly_filter,hard,af739fd4d003277226731f065f0f27363113cea0bf5741736ef3e984fd2cb400,"WITH created AS (
  SELECT object_id, MIN(timestamp) AS t_created 
  FROM events 
  WHERE event_type = 'order_created' 
  GROUP BY object_id
),
delivery AS (
  SELECT object_id, MIN(timestamp) AS t_delivery 
  FROM events 
  WHERE event_type = 'delivery_created' 
  GROUP BY object_id
)
SELECT COUNT(DISTINCT created.object_id)
FROM created
LEFT JOIN delivery ON created.object_id = delivery.object_id
WHERE delivery.object_id IS NULL 
   OR DATE_DIFF('day', created.t_created, delivery.t_delivery) > 90",af739fd4d003277226731f065f0f27363113cea0bf5741736ef3e984fd2cb400,1,1,0,0,15.362,
Q078,How many objects had more than 10 events?,anomaly_filter,hard,49e165525ebdb26f765e7bbab7689c4772a55771dd3ce3b1786d75188895cf03,"SELECT COUNT(*) AS n_objects
FROM (
    SELECT object_id
    FROM events
    GROUP BY object_id
    HAVING COUNT(*) > 10
) AS objects_with_many_events;",49e165525ebdb26f765e7bbab7689c4772a55771dd3ce3b1786d75188895cf03,1,1,0,0,10.013,
Q079,How many billing documents have NETWR above 1000000 in any currency?,anomaly_filter,hard,d137ea7afa84e92fc7e568636ce4b48a64b1646a38966b42caa11994a3ddb2e5,"SELECT COUNT(*) 
FROM objects 
WHERE object_type = 'billing' 
  AND NETWR > 1000000;",d0bca111f8628137adc4c16f123496dcdd1d590d06cb5d9acd68b39fe656fb97,1,0,0,0,9.299,
Q080,How many dunning_raised events occurred for AR items that were later cleared?,anomaly_filter,hard,d0bca111f8628137adc4c16f123496dcdd1d590d06cb5d9acd68b39fe656fb97,"SELECT COUNT(DISTINCT events.object_id) 
FROM events 
JOIN objects ON events.object_id = objects.object_id 
WHERE events.event_type = 'dunning_raised' 
AND objects.cleared = 1",d0bca111f8628137adc4c16f123496dcdd1d590d06cb5d9acd68b39fe656fb97,1,1,0,0,13.679,
Q085,"For each month in 2005, the count of billing_created events together with a 3-month trailing moving average.",window_agg,medium,b0566d1f55884aef40a9f0b1cf8c39459f31d13b5ed7e64de6b85a93d88718b7,"WITH monthly_counts AS (
  SELECT 
    DATE_TRUNC('month', timestamp) AS month,
    COUNT(*) AS cnt
  FROM events
  WHERE event_type = 'billing_created'
    AND EXTRACT(YEAR FROM timestamp) = 2005
  GROUP BY DATE_TRUNC('month', timestamp)
)
SELECT 
  month,
  cnt,
  AVG(cnt) OVER (ORDER BY month ROWS BETWEEN 2 PRECEDING AND CURRENT ROW) AS moving_avg_3m
FROM monthly_counts
ORDER BY month",5a4a9bb562e3f4761ae2ba1e7e2ff9b611b6cc52c363c4c5b14f11ad01bcb6b1,1,0,0,0,13.008,
Q086,"For each year, show the number of order_created events and its cumulative sum across years.",window_agg,medium,32c8b5b832aadb40558247587e9827b92f82614d2576db193d986b29a5f731c7,"SELECT 
    YEAR(timestamp) AS year,
    COUNT(*) AS n_events,
    SUM(COUNT(*)) OVER (ORDER BY YEAR(timestamp)) AS cumulative_events
FROM events 
WHERE event_type = 'order_created'
GROUP BY YEAR(timestamp)
ORDER BY year",32c8b5b832aadb40558247587e9827b92f82614d2576db193d986b29a5f731c7,1,1,0,0,11.741,
Q087,Rank event types by total count in descending order.,window_agg,medium,c21b151cdd0fd857c4e7718e1c6479ab70ec706f00a0cba7f7319dba98aca5e4,"SELECT e.event_type, COUNT(*) AS total_count
FROM events e
GROUP BY e.event_type
ORDER BY total_count DESC",02e01fb6ed3dea775798b4794936cba379602351f383786d26acced55b8e4ea5,1,0,0,0,8.692,
